Date,Eastern_Europe,Northern_Europe,Southern_Europe,Western_Europe,Europe
1/1/90,6035327,1239500,1019458,2311765,10606049
1/1/91,5596829,1252545,1023850,2308267,10181491
1/1/92,4937959,1187915,1033759,2239906,9399539
1/1/93,4621971,1159645,1015849,2205949,9003414
1/1/94,4179613,1161227,1027777,2192451,8561068
1/1/95,4057137,1145731,1079095,2197923,8479886
1/1/96,3959691,1196851,1066118,2249178,8471838
1/1/97,3823763,1156464,1096161,2189660,8266049
1/1/98,3691612,1148037,1127582,2185576,8152807
1/1/99,3646180,1108939,1168593,2118167,8041879
1/1/00,3632111,1101632,1191380,2111710,8036833
1/1/01,3723231,1117739,1198517,2130910,8170396
1/1/02,3692567,1097424,1222170,2102512,8114673
1/1/03,3804908,1120459,1245404,2113775,8284546
1/1/04,3871755,1106485,1267708,2099129,8345077
1/1/05,3906874,1080513,1287715,2069901,8345004
1/1/06,4017458,1093683,1262449,2053251,8426841
1/1/07,4028090,1080690,1265336,2006479,8380594
1/1/08,4030432,1042318,1216100,2004548,8293398
1/1/09,3770982,956359,1115511,1889177,7732029
1/1/10,3929072,993232,1101975,1958620,7982899
1/1/11,4018296,922986,1083504,1881334,7906121
1/1/12,4017903,924875,1044014,1876717,7863509
1/1/13,3927111,913764,974364,1894613,7709851
1/1/14,3866703,859884,949713,1802824,7479124
